1,Charlie1,Engineering,112742
2,Grace2,Engineering,89233
3,Ivy3,Finance,49672
4,Charlie4,Sales,69546
5,Alice5,Sales,38612
6,Alice6,Finance,104506
7,Grace7,Engineering,47676
8,Eve8,Finance,111531
9,Alice9,Finance,115136
10,Hank10,HR,118800
11,Ivy11,Finance,89951
12,Frank12,HR,32983
13,Diana13,Engineering,41288
14,Grace14,Sales,32358
15,Hank15,Sales,70896
16,Eve16,Finance,104293
17,Charlie17,Sales,60741
18,Bob18,Sales,82316
19,Alice19,Sales,103742
20,Alice20,Sales,91512
21,Ivy21,Engineering,99661
22,Bob22,Sales,95223
23,Alice23,Sales,45893
24,Hank24,Engineering,62374
25,Ivy25,Finance,108654
26,Eve26,Sales,92367
27,Diana27,Sales,60909
28,Charlie28,HR,82732
29,Jack29,HR,84366
30,Grace30,Sales,70082
31,Eve31,Marketing,75085
32,Charlie32,Sales,65129
33,Grace33,Marketing,86187
34,Alice34,Engineering,82780
35,Grace35,Finance,86639
36,Jack36,Marketing,84829
37,Ivy37,Sales,80527
38,Charlie38,Engineering,106545
39,Jack39,Finance,32771
40,Grace40,Engineering,111510
41,Jack41,Marketing,91105
42,Hank42,Sales,97681
43,Charlie43,HR,115189
44,Alice44,HR,42437
45,Alice45,HR,117091
46,Charlie46,HR,81268
47,Eve47,Marketing,93566
48,Hank48,Engineering,70366
49,Diana49,Marketing,95296
50,Eve50,Finance,97844
51,Frank51,Sales,82000
52,Eve52,Sales,78649
53,Alice53,HR,75540
54,Ivy54,HR,30650
55,Jack55,Engineering,102039
56,Diana56,Marketing,61791
57,Charlie57,Engineering,118377
58,Grace58,Sales,108590
59,Grace59,Sales,79182
60,Eve60,Engineering,33690
61,Alice61,Engineering,33022
62,Grace62,HR,96973
63,Grace63,Sales,114350
64,Bob64,Engineering,85243
65,Diana65,Marketing,87348
66,Jack66,Sales,75608
67,Bob67,Engineering,70866
68,Charlie68,Marketing,51495
69,Bob69,Engineering,102669
70,Bob70,HR,80042
71,Charlie71,Engineering,95341
72,Charlie72,Sales,117020
73,Diana73,HR,90172
74,Bob74,Sales,35918
75,Ivy75,Finance,80369
76,Bob76,Marketing,55742
77,Bob77,Finance,30879
78,Alice78,Marketing,97280
79,Charlie79,Marketing,42567
80,Jack80,HR,61703
81,Ivy81,Marketing,59907
82,Eve82,HR,97950
